"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.01761082
0,6,0.2249289
0,9,0.7101428
0,12,1.442283
0,15,2.350652
0,18,3.344483
0,21,4.336954
0,24,5.259515
0,27,6.066111
0,30,6.731862
0,33,7.249234
0,36,7.623124
0,39,7.86637
0,42,7.996082
0,45,8.030777
0,48,7.98848
0,51,7.885669
0,54,7.736781
0,57,7.554058
0,60,7.347583
0,63,7.12553
0,66,6.894315
0,69,6.658922
0,72,6.423193
0,75,6.19002
0,78,5.961523
0,81,5.739197
0,84,5.524065
0,87,5.316802
0,90,5.117799
0,93,4.927227
0,96,4.745087
0,99,4.571257
0,102,4.405538
0,105,4.247669
0,108,4.097351
0,111,3.954257
0,114,3.818045
0,117,3.688374
0,120,3.564901
0,135,3.029238
0,150,2.603885
0,165,2.260767
0,180,1.97953
0,195,1.745513
0,210,1.548535
0,225,1.381158
0,240,1.237819
0,255,1.114257
0,270,1.007149
0,285,0.9138681
0,300,0.8322914
0,315,0.7606666
0,330,0.697566
0,345,0.6418031
0,360,0.592377
0,375,0.5484468
0,390,0.5093007
0,405,0.4743304
0,420,0.443016
0,435,0.4149113
0,450,0.3896308
0,465,0.3668412
0,480,0.3462532
0,495,0.3276148
0,510,0.3107056
0,525,0.2953324
0,540,0.2813259
0,543,0.2786752
0,546,0.276072
0,549,0.2735153
0,552,0.271004
0,555,0.2685371
0,558,0.2661136
0,561,0.2637326
0,564,0.261393
0,567,0.259094
0,570,0.2568346
0,573,0.2546139
0,576,0.2524312
0,579,0.2502855
0,582,0.2481761
0,585,0.246102
0,588,0.2440627
0,591,0.2420572
0,594,0.2400849
0,597,0.2381449
0,600,0.2362366
0,603,0.2343594
0,606,0.2325125
0,609,0.2306952
0,612,0.228907
0,615,0.2271471
0,618,0.225415
0,621,0.2237101
0,624,0.2220318
0,627,0.2203794
0,630,0.2187525
0,633,0.2171505
0,636,0.2155729
0,639,0.2140191
0,642,0.2124886
0,645,0.2109809
0,648,0.2094956
0,651,0.2080321
0,654,0.20659
0,657,0.2051689
0,660,0.2037682
0,663,0.2023876
0,666,0.2010267
0,669,0.1996849
0,672,0.198362
0,675,0.1970575
0,678,0.195771
0,681,0.1945021
0,684,0.1932506
0,687,0.1920159
0,690,0.1907979
0,693,0.189596
0,696,0.18841
0,699,0.1872396
0,702,0.1860844
0,705,0.1849441
0,708,0.1838185
0,711,0.1827071
0,714,0.1816097
0,717,0.1805261
0,720,0.1794559
0,723,0.1960142
0,726,0.402342
0,729,0.886659
0,732,1.617983
0,735,2.525581
0,738,3.518675
0,741,4.510433
0,744,5.432254
0,747,6.238097
0,750,6.903087
0,753,7.419628
0,756,7.792669
0,759,8.035048
0,762,8.163818
0,765,8.197451
0,768,8.154033
0,771,8.050105
0,774,7.90013
0,777,7.716345
0,780,7.508832
0,783,7.285717
0,786,7.05344
0,789,6.817009
0,792,6.580268
0,795,6.346096
0,798,6.116613
0,801,5.893333
0,804,5.677279
0,807,5.469111
0,810,5.269214
0,813,5.07776
0,816,4.894753
0,819,4.720076
0,822,4.553524
0,825,4.394838
0,828,4.243715
0,831,4.099827
0,834,3.962837
0,837,3.832401
0,840,3.708175
0,843,3.589825
0,846,3.477027
0,849,3.369468
0,852,3.266855
0,855,3.168902
0,858,3.075341
0,861,2.98592
0,864,2.900399
0,867,2.818556
0,870,2.740181
0,873,2.665078
